ID,MAR_STAT,AGE,EDUC,GENDER,ETHNIC,RELIG,CAP_PUN,GUN_LAW,SEX_ED,ILL_DIE,READ_NEWS,NEWS_TV,NEWS_PBS,BIGBAND,BLUEGRASS,COUNTRY,BLUES,MUSICALS,CLASSICAL,FOLK,JAZZ
32,5,30,2,2,2,1,1,1,1,1,2,1,2,8,8,2,2,4,4,4,2
33,5,40,3,2,2,2,1,2,0,0,0,2,1,2,3,3,2,1,1,2,1
34,5,26,0,2,1,1,8,0,1,1,4,2,3,2,2,3,2,4,5,4,4
35,1,66,1,1,1,4,1,0,1,1,1,1,2,1,3,4,2,5,3,4,1
36,1,53,1,2,3,2,1,0,1,2,2,1,1,1,4,1,4,1,1,2,1
37,1,20,1,2,3,2,1,1,1,1,2,1,2,3,3,8,3,8,2,8,3
38,3,63,1,2,1,2,1,1,0,0,0,1,3,1,1,1,2,1,1,1,3
39,1,41,0,1,3,2,1,1,1,1,3,1,2,2,8,1,5,2,2,1,4
40,3,33,1,2,1,1,2,1,0,0,0,2,4,3,4,3,2,2,2,3,1
41,1,34,1,1,3,2,1,1,0,0,0,1,3,2,4,2,2,2,2,2,2
42,1,61,3,2,3,2,1,1,1,2,1,1,5,2,2,2,2,2,1,2,2
43,1,29,4,2,1,5,1,1,1,1,2,1,1,4,2,2,2,2,2,4,2
44,5,45,1,2,1,2,1,2,2,2,5,1,4,2,2,1,2,2,1,2,3
45,5,31,1,1,1,1,1,2,0,0,0,1,4,3,3,2,2,3,3,3,3
47,1,28,4,1,1,5,8,1,1,1,2,1,2,2,3,2,2,1,1,1,1
48,3,34,4,2,1,1,2,1,0,0,0,2,3,2,3,3,2,2,2,4,4
49,3,45,1,2,1,4,1,1,1,1,4,1,4,2,4,3,2,1,2,2,1
50,3,35,3,2,1,1,1,0,1,2,1,1,2,4,4,4,2,2,1,3,1
51,5,48,3,1,1,4,1,2,0,0,0,1,1,2,5,3,3,2,1,1,2
53,3,39,4,1,2,1,1,1,1,1,1,1,2,1,3,3,1,2,2,2,1
54,5,20,1,1,2,1,1,1,0,0,0,1,1,8,8,8,5,2,2,5,5
55,1,27,1,2,2,1,8,1,0,0,0,1,3,3,8,3,2,2,2,2,2
56,5,36,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,3,3,3,3
57,1,78,3,1,1,2,8,1,2,2,2,1,3,1,4,2,2,2,1,4,4
58,5,42,1,2,3,2,2,1,1,2,1,1,3,2,3,1,2,2,2,3,1
59,1,31,3,2,1,1,2,1,0,0,0,4,3,4,8,2,8,3,2,2,5
60,5,44,3,2,3,2,8,0,8,8,3,1,3,1,2,2,3,1,1,1,1
61,1,39,1,1,1,2,1,2,1,2,1,1,2,4,4,3,4,4,2,2,4
62,5,19,0,2,1,4,1,1,1,1,4,4,1,8,8,4,2,8,5,8,2
63,1,37,1,2,1,2,1,0,1,1,1,1,1,1,2,2,2,1,1,3,2
64,1,48,3,2,1,1,2,1,0,0,0,1,4,2,2,2,2,1,1,2,1
65,1,39,1,2,1,2,1,0,1,1,4,1,2,8,2,1,2,3,3,2,1
66,1,45,1,1,2,1,1,1,0,0,0,1,1,4,8,2,2,3,1,4,1
67,1,46,4,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,2,3
68,5,23,3,2,1,2,1,1,1,1,1,3,4,4,2,3,2,3,2,4,2
69,1,37,3,2,1,2,2,1,1,2,1,2,2,2,3,1,4,3,3,5,3
70,5,27,1,1,1,2,1,1,0,0,0,1,2,4,2,3,1,4,3,4,3
71,5,23,3,2,1,2,1,1,1,1,2,2,4,3,3,3,3,2,3,3,3
72,1,31,3,1,1,1,1,1,0,0,0,1,2,2,3,4,1,5,1,2,1
73,1,30,2,2,1,1,1,1,1,1,3,1,3,2,3,1,2,4,2,5,2
74,1,77,3,1,1,1,1,1,1,1,1,1,2,1,3,3,8,2,2,3,2
75,1,41,1,1,2,1,1,1,0,0,0,1,2,8,8,8,1,2,8,8,1
76,2,70,0,2,2,1,1,1,0,0,0,1,3,1,3,2,1,2,8,3,8
77,2,81,0,1,2,1,1,0,1,2,1,1,2,1,4,2,1,3,2,4,2
78,1,41,1,1,2,5,1,0,1,2,2,2,2,3,4,4,2,3,3,3,1
79,3,41,1,2,2,1,1,1,1,1,2,1,1,3,3,2,2,3,3,3,1
80,2,69,0,2,2,1,2,0,1,2,3,1,1,1,8,3,4,8,4,5,8
81,5,41,1,2,2,1,1,1,1,1,1,2,2,3,3,5,2,2,8,4,1
82,1,32,0,2,3,2,2,2,0,0,0,1,1,4,2,2,2,8,2,3,2
83,1,29,2,2,2,1,1,0,2,2,4,4,3,8,8,4,4,2,2,4,2
84,5,51,1,2,2,2,1,1,0,0,0,1,3,1,8,3,2,1,2,5,1
85,1,35,3,1,1,4,1,0,1,1,3,1,2,2,3,3,1,2,2,3,1
86,1,36,1,1,1,2,1,2,0,0,0,1,1,2,3,4,4,5,3,3,5
87,1,41,1,1,1,1,1,0,1,1,3,2,1,2,3,3,4,2,4,3,3
88,5,62,3,2,1,1,1,1,0,0,0,1,1,2,8,3,3,2,1,2,3
89,1,44,1,1,1,1,2,0,1,1,3,3,3,2,2,2,2,3,2,2,3
90,1,64,1,2,1,1,1,1,2,2,1,1,3,1,3,2,4,1,2,3,4
91,1,49,1,1,1,1,1,1,1,1,2,1,4,2,8,3,3,2,3,3,2
92,5,62,1,2,1,2,1,1,0,0,0,1,3,1,3,2,3,2,2,3,2
93,1,62,4,2,1,2,2,0,1,2,1,1,3,2,3,3,8,2,2,2,2
94,1,49,1,2,1,2,1,1,1,9,2,2,4,2,2,3,3,1,4,2,3
95,3,49,2,2,1,2,1,1,1,1,3,3,5,1,2,1,2,1,2,2,2
96,1,45,4,1,1,1,8,0,1,1,1,2,2,3,3,3,3,4,3,2,2
97,2,75,3,1,1,2,1,1,8,2,1,1,5,2,3,3,2,2,1,3,2
98,1,75,3,1,1,2,1,1,0,0,0,1,2,1,3,3,1,3,4,3,3
99,5,18,0,1,3,4,2,1,0,0,0,2,1,2,4,4,2,3,2,2,1
100,5,31,3,1,1,2,1,1,2,2,3,1,4,8,8,4,4,3,3,4,3
101,5,27,0,2,1,1,1,1,1,1,4,3,2,2,3,5,2,3,5,5,3
102,1,45,1,1,1,1,1,1,1,1,1,2,4,2,2,3,2,3,4,3,2
103,1,27,3,1,1,1,2,1,1,2,2,2,5,3,4,4,2,1,1,1,1
105,5,28,1,1,1,4,1,0,1,1,2,1,2,2,4,4,1,4,1,2,1
106,1,52,1,1,1,1,1,0,1,2,1,1,1,2,3,2,2,3,3,3,1
107,1,69,0,1,1,1,1,0,2,2,3,1,2,1,1,5,5,2,2,1,5
108,1,43,1,1,1,5,1,2,0,0,0,1,2,3,2,2,2,2,2,2,2
109,1,28,3,1,1,2,1,8,0,0,0,1,4,2,2,1,2,2,2,2,2
110,1,52,2,2,1,2,1,1,1,1,3,5,2,2,2,2,3,1,3,2,3
112,1,37,3,2,1,2,1,0,1,1,1,1,2,2,2,2,2,2,2,2,2
113,1,36,1,2,1,1,8,0,1,2,3,4,4,4,3,1,8,2,8,2,4
114,1,24,1,2,1,4,1,1,1,1,3,1,2,4,4,2,2,4,4,4,4
115,1,51,4,1,1,4,2,1,0,0,0,2,2,2,3,3,2,2,1,2,1
116,1,57,3,1,1,1,2,1,1,1,1,1,2,2,2,1,2,3,1,2,3
117,1,72,3,1,1,2,2,0,1,1,1,2,4,3,4,4,2,3,3,4,4
118,1,45,4,2,1,2,1,0,1,1,1,1,3,1,2,2,2,1,2,2,2
119,1,32,4,1,1,2,1,1,0,0,0,2,2,2,3,1,2,2,2,3,2
121,2,63,1,2,2,1,2,1,1,2,3,1,1,1,3,5,8,4,2,3,4
122,5,50,2,1,2,1,2,0,1,2,1,1,1,1,1,1,1,1,2,2,1
123,2,71,0,2,2,1,2,1,1,2,5,5,2,1,8,2,1,2,3,8,1
124,2,59,1,1,3,4,1,0,1,1,1,1,1,1,3,3,4,1,1,2,1
125,5,30,3,1,1,5,1,1,0,0,0,1,2,1,3,1,5,8,1,2,2
126,1,37,1,2,1,1,1,0,1,1,2,3,1,8,8,1,5,2,4,3,4
127,1,54,0,2,1,1,8,1,2,2,5,4,8,4,1,1,4,4,5,4,4
128,1,43,0,1,1,1,1,1,0,0,0,1,5,1,1,1,1,3,3,1,1
129,9,99,3,1,2,1,2,1,0,0,0,1,1,2,8,8,2,2,3,5,3
130,1,62,1,2,2,1,8,0,1,2,2,1,1,8,8,2,8,8,2,2,4
131,1,60,1,2,2,1,2,1,1,2,1,1,2,2,3,3,2,2,2,2,1
132,1,60,1,1,2,2,2,1,0,0,0,1,3,2,2,2,1,2,2,2,1
133,1,46,3,2,2,1,2,1,1,1,1,1,3,2,4,4,2,2,2,4,2
135,3,30,1,2,1,1,1,0,1,1,4,1,5,5,3,2,2,5,5,4,2
136,1,27,1,1,1,1,1,2,1,1,3,3,3,4,2,1,3,5,5,5,2
137,3,45,1,2,1,1,1,1,1,2,1,1,4,2,5,1,3,1,2,2,4
138,1,51,3,1,1,1,1,2,2,1,2,1,3,3,2,4,5,3,2,3,4
139,1,38,3,1,1,1,1,2,0,0,0,1,3,2,2,2,3,3,4,3,3
140,1,44,4,1,3,1,1,1,1,1,1,1,3,3,3,2,2,2,1,3,1
141,1,40,4,1,1,1,1,2,0,0,0,1,2,3,2,4,2,3,3,3,2
143,1,51,1,1,1,1,1,2,1,2,2,2,2,3,2,1,3,3,3,2,3
144,1,40,1,2,1,1,1,0,2,1,2,2,4,3,2,2,2,3,4,2,2
145,1,34,1,2,1,1,1,0,1,1,1,1,3,4,3,3,2,2,4,4,3
146,2,54,1,2,1,1,1,1,1,1,5,1,3,1,1,1,1,1,1,1,1
147,1,59,4,1,1,1,1,2,2,2,1,1,3,2,2,2,3,4,1,2,3
148,5,36,1,1,1,2,1,1,1,2,1,1,2,2,1,1,3,8,2,2,2
149,1,35,1,1,1,1,1,2,2,2,2,2,4,8,2,2,3,5,5,3,2
150,1,30,1,2,1,1,2,0,8,1,2,1,1,4,4,2,2,9,3,3,2
151,1,34,3,2,1,2,1,1,1,2,2,1,2,2,2,3,2,1,1,1,2
152,1,32,1,1,1,2,8,0,1,1,2,2,4,2,4,5,2,3,3,5,2
153,2,73,1,2,1,1,1,1,0,0,0,1,2,2,2,1,3,2,3,2,3
154,1,66,3,1,1,1,1,0,1,1,1,1,1,1,2,2,1,2,3,2,1
155,5,33,3,2,1,2,1,0,1,1,4,4,3,2,3,2,3,2,1,3,2
156,1,38,3,2,1,1,1,0,2,2,1,5,4,1,3,3,3,2,1,1,2
157,1,49,4,2,1,4,8,1,1,1,2,2,1,1,2,4,1,1,1,1,4
158,5,56,4,1,1,1,2,1,0,0,0,1,1,2,8,4,2,1,1,2,2
159,1,55,4,1,1,3,1,1,0,0,0,1,2,1,2,3,2,3,1,3,2
160,1,61,4,2,1,2,2,0,1,2,2,1,1,1,2,2,2,1,2,3,1
161,5,34,3,1,1,2,8,1,0,0,0,3,3,3,3,3,2,4,5,2,5
162,5,43,3,2,1,2,2,1,0,0,0,1,2,3,1,2,3,3,1,1,3
164,1,48,4,1,2,1,8,1,0,0,0,1,2,3,4,3,1,2,1,3,3
165,4,43,3,2,1,5,1,1,0,0,0,1,2,2,2,3,2,2,1,3,1
166,1,65,1,1,1,2,1,1,0,0,0,1,3,1,3,3,2,3,4,3,1
167,4,35,0,1,1,2,1,1,0,0,0,1,4,2,2,1,2,3,2,3,2
168,2,82,1,2,1,1,2,8,0,0,0,1,8,8,8,8,8,8,8,8,8
169,1,62,1,2,1,2,2,1,0,0,0,2,4,1,1,1,1,1,2,2,2
170,2,59,1,2,1,2,1,1,2,1,1,1,4,1,1,1,3,1,3,3,4
171,3,38,1,1,1,2,1,1,1,1,2,3,3,2,3,3,2,3,2,3,2
172,1,43,1,2,1,1,8,1,1,2,1,1,4,2,2,2,2,2,2,2,2
173,1,31,1,1,1,2,1,1,1,1,3,1,4,2,2,2,2,3,3,2,2
174,1,30,1,2,1,2,1,1,1,1,1,2,5,2,8,3,4,3,2,8,9
175,5,40,3,1,1,3,1,1,1,1,1,1,2,3,2,3,1,5,3,2,1
176,5,27,3,1,1,2,1,1,0,0,0,4,4,1,8,3,2,2,3,3,1
177,3,52,3,1,1,1,1,1,2,1,1,2,2,3,3,4,4,3,1,3,5
178,1,32,1,2,1,4,1,2,0,0,0,1,2,4,3,5,3,4,3,5,2
179,1,70,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,3,3,3
180,1,55,1,2,1,1,1,0,1,2,1,2,3,2,4,2,2,2,2,2,2
181,1,53,3,2,1,1,1,1,0,0,0,1,2,1,2,2,1,1,2,2,1
182,3,35,1,2,1,1,1,1,1,1,5,1,5,4,3,4,2,2,2,4,2
183,2,99,4,2,1,1,2,0,1,2,1,1,3,2,8,5,4,2,2,4,4
185,2,79,0,2,1,1,1,1,0,0,0,1,1,2,2,2,2,2,3,2,2
186,2,72,0,2,1,1,1,1,2,2,2,1,5,4,1,1,3,3,4,2,4
187,2,81,0,2,1,2,1,1,0,0,0,1,2,1,8,3,4,2,4,3,4
188,2,76,0,2,1,2,1,8,2,8,2,9,9,9,9,9,9,9,9,9,9
189,1,30,2,1,1,2,1,1,0,0,0,1,1,2,3,2,2,2,2,2,2
190,1,45,1,2,1,1,1,1,1,1,1,1,2,3,2,3,1,4,5,4,2
191,3,34,1,1,1,1,1,1,1,1,1,2,2,4,2,3,2,3,4,3,2
192,1,71,1,1,1,1,1,0,1,8,2,1,3,1,4,3,3,2,3,3,3
193,1,43,3,2,1,1,2,1,1,2,1,1,3,2,3,3,2,2,4,4,4
194,1,37,4,1,1,3,1,0,1,1,2,1,2,2,2,1,2,2,2,2,2
196,2,80,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,1,8,2
197,1,75,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,1,2,2,2
198,1,67,1,1,1,1,1,0,1,1,1,1,2,2,3,1,3,2,3,4,3
199,1,42,1,2,3,1,8,0,1,1,2,2,4,2,2,3,3,2,2,3,2
200,2,76,1,2,1,1,1,0,1,1,2,1,2,1,3,2,3,2,2,1,3
201,1,67,4,2,1,1,1,0,2,1,1,1,1,2,3,2,2,1,1,2,4
202,5,55,1,2,1,5,1,1,1,1,4,3,5,2,3,3,3,3,2,3,4
203,2,66,4,1,2,1,2,0,1,1,1,1,1,2,3,3,2,1,1,1,2
204,1,69,3,1,1,3,1,0,1,1,1,1,1,2,4,4,2,1,1,3,1
205,3,57,2,2,2,1,1,1,1,2,4,1,2,2,4,3,1,2,3,3,2
206,1,57,4,2,1,2,2,1,0,0,0,1,2,1,2,2,2,1,1,1,1
207,2,85,0,2,1,1,1,1,0,0,0,1,5,1,2,2,2,2,4,3,2
208,3,74,2,2,1,1,1,0,1,8,1,1,1,1,4,2,2,2,2,2,3
209,5,36,3,1,2,4,8,1,0,0,0,1,2,4,4,3,2,3,3,3,3
210,1,32,4,2,1,2,1,1,1,1,2,4,3,1,4,5,2,2,1,4,2
212,1,30,1,2,1,2,1,1,2,8,2,1,2,1,2,2,3,1,1,2,2
213,1,59,1,2,1,1,1,1,1,8,1,1,2,1,2,2,2,2,1,1,3
214,1,39,3,1,1,2,2,1,0,0,0,1,3,3,3,3,3,2,4,2,2
215,3,49,1,2,1,1,1,1,0,0,0,2,3,1,2,2,2,1,1,3,3
216,3,51,1,2,1,1,1,0,1,2,2,1,3,1,1,1,2,2,2,2,2
217,2,73,0,2,1,1,1,0,2,1,5,1,4,3,2,2,2,3,4,3,3
218,1,47,0,1,1,1,1,2,1,2,4,1,3,3,1,2,4,3,8,2,2
219,1,53,4,1,1,1,1,1,0,0,0,1,2,2,2,2,2,2,1,1,2
220,1,41,1,2,1,1,1,1,1,8,2,2,2,3,3,2,3,3,3,3,3
221,3,38,0,1,1,1,1,0,1,1,2,2,2,2,1,1,1,4,4,3,2
222,1,54,1,2,1,1,1,1,0,0,0,1,3,2,3,1,3,1,3,4,3
223,1,58,4,1,1,1,1,0,8,1,1,1,2,1,2,3,3,2,1,2,1
225,1,33,1,2,2,1,1,0,1,1,2,1,1,3,3,2,2,2,3,3,1
226,2,71,0,2,2,2,1,1,2,1,3,1,2,2,3,1,1,1,2,2,1
227,1,59,1,2,2,1,2,0,1,1,4,2,3,3,2,2,2,2,3,2,2
228,1,33,1,2,1,1,1,1,0,0,0,1,2,1,2,3,3,3,1,2,2
229,1,50,1,1,1,2,1,1,1,1,1,1,3,2,3,3,2,3,3,3,2
230,1,51,1,2,1,2,2,1,0,0,0,1,2,4,4,3,2,1,3,1,3
231,1,60,1,2,1,3,1,1,1,1,5,1,4,1,3,3,2,1,3,4,3
232,1,69,1,2,1,2,1,1,1,2,1,1,2,2,2,4,2,1,3,3,2
233,1,41,3,2,3,2,1,0,1,1,1,1,3,1,8,2,2,2,2,2,1
235,5,57,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,2,2,2
236,2,77,0,2,3,2,2,1,0,0,0,1,1,2,2,2,2,3,3,3,3
237,1,50,1,2,1,2,1,0,1,1,1,1,5,3,3,3,3,1,3,3,1
238,1,41,1,2,3,2,1,1,0,0,0,1,1,5,3,2,5,4,1,2,1
239,2,50,3,2,1,3,1,0,1,1,1,1,1,3,4,3,3,1,3,4,3
240,1,53,1,2,1,3,1,0,1,1,1,2,3,2,4,2,2,1,5,2,4
241,1,34,3,1,1,4,1,1,1,2,1,1,3,2,4,2,2,4,3,2,1
242,1,47,1,2,1,2,1,1,1,2,2,2,4,2,4,1,3,2,3,3,3
243,1,45,2,2,1,1,2,2,1,1,2,1,3,8,2,3,3,3,1,2,3
244,1,35,4,1,1,1,2,2,0,0,0,1,4,3,3,3,1,4,3,3,1
245,1,72,0,1,1,2,1,2,0,0,0,1,5,1,1,1,3,2,2,2,3
246,1,37,2,1,1,2,2,1,1,2,4,2,2,3,2,1,3,2,3,2,3
247,4,41,3,2,1,4,2,0,1,1,3,3,3,2,5,4,1,2,2,3,2
248,5,27,1,2,1,2,1,1,1,1,4,2,3,8,8,2,2,3,8,8,2
249,5,27,3,2,1,2,1,1,0,0,0,3,5,2,2,2,2,1,2,2,2
250,1,50,2,1,1,1,1,0,1,2,1,1,1,2,2,2,2,1,1,3,1
251,1,28,3,1,1,1,1,1,0,0,0,2,4,2,2,3,2,2,3,2,2
252,1,31,3,1,1,4,2,1,0,0,0,1,3,2,2,3,1,3,2,2,3
253,5,51,1,1,1,2,2,1,0,0,0,1,1,2,2,3,1,2,1,1,2
254,5,25,0,2,2,5,2,0,1,1,2,1,1,3,3,2,1,3,1,3,1
255,1,41,0,1,3,2,1,2,1,2,1,1,2,4,4,4,2,4,2,4,4
256,5,26,1,1,3,4,8,0,1,8,3,1,3,3,2,2,3,3,3,2,3
257,5,20,1,2,2,1,8,0,1,2,4,1,1,2,3,2,2,2,3,3,2
258,5,21,1,2,3,4,1,1,0,0,0,2,5,8,8,8,5,4,3,3,2
259,1,43,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,1,3,2
260,1,44,3,1,1,1,1,1,0,0,0,1,1,3,2,2,2,2,2,2,2
261,1,43,1,2,1,2,1,0,1,1,2,1,2,1,1,1,2,1,2,2,1
262,1,39,1,1,1,1,1,1,0,0,0,1,2,1,1,1,2,1,1,1,1
263,1,54,3,2,1,2,1,1,0,0,0,1,3,2,2,2,2,2,3,2,1
264,3,47,1,2,1,1,1,1,0,0,0,2,3,2,3,2,2,2,2,3,3
265,1,77,1,2,1,2,2,1,1,1,1,1,2,2,2,2,1,1,1,2,2
266,1,47,4,2,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2
267,5,27,0,2,2,1,1,1,2,1,2,1,1,3,2,3,2,2,3,4,3
268,1,39,0,1,2,1,1,1,0,0,0,1,1,2,2,3,2,3,3,4,2
269,3,54,1,2,1,2,2,1,2,2,1,1,5,2,8,2,1,3,3,3,2
270,3,44,1,2,1,2,1,1,1,1,1,1,1,3,3,3,4,4,2,2,5
271,5,27,1,2,1,1,1,0,1,1,2,1,3,3,3,2,2,4,4,3,1
272,3,37,1,2,3,2,1,1,0,0,0,1,5,2,3,3,3,4,4,4,3
274,4,52,0,2,1,1,1,0,1,1,4,1,3,2,1,1,3,3,2,2,3
275,1,76,0,2,1,1,1,1,1,1,1,1,2,2,2,2,8,1,2,2,3
276,3,54,1,2,1,2,1,1,1,1,3,2,2,1,2,2,2,1,2,3,3
277,1,65,1,1,1,2,1,1,1,2,1,1,4,1,8,1,2,3,8,8,2
278,1,71,1,2,1,2,1,1,1,1,5,1,2,1,8,1,1,1,5,3,2
279,1,49,0,2,1,2,2,1,1,2,1,1,4,2,2,1,2,1,2,2,2
280,1,24,1,2,2,1,1,1,0,0,0,3,3,2,8,8,3,2,1,8,2
281,1,43,1,1,1,1,1,1,0,0,0,1,2,3,3,5,2,3,4,3,5
282,1,41,1,1,2,1,1,1,1,2,1,1,2,2,2,2,1,2,3,3,1
283,3,41,1,2,2,1,1,1,0,0,0,1,1,5,3,2,1,3,4,5,1
284,1,46,1,2,2,1,2,1,0,0,0,1,3,1,3,3,1,2,2,2,2
285,1,65,1,2,1,2,2,0,1,2,1,1,1,2,3,5,2,3,1,2,3
286,5,33,3,1,1,1,1,1,1,1,1,1,3,8,2,5,2,8,3,4,2
287,4,33,2,2,1,1,8,2,0,0,0,3,3,1,2,2,1,1,1,2,1
288,1,45,1,2,1,1,1,0,1,1,2,1,4,1,3,2,2,3,2,5,2
289,5,25,3,2,3,5,2,0,1,1,2,1,4,2,2,2,1,2,2,2,1
290,5,24,3,1,1,2,2,1,0,0,0,1,3,2,2,4,2,2,2,4,2
291,1,45,1,1,1,2,1,1,0,0,0,1,2,4,2,2,3,4,4,2,2
292,1,65,1,2,1,2,1,0,1,1,1,1,1,1,3,1,3,3,3,4,3
293,5,44,1,1,1,2,8,0,1,8,1,1,3,1,1,1,1,3,2,1,1
294,1,30,1,2,1,1,8,8,1,1,3,4,3,2,2,2,2,2,1,2,2
295,1,72,0,1,1,2,1,0,1,8,2,1,3,3,1,1,3,2,8,2,4
296,3,46,1,2,1,1,1,1,1,1,4,1,1,4,3,3,2,3,2,2,1
297,1,64,1,2,1,1,1,0,1,1,1,1,2,2,2,2,2,2,3,3,1
298,3,75,1,1,1,1,1,0,1,2,1,2,2,1,2,3,5,2,2,3,3
299,5,71,3,1,1,1,1,0,1,2,1,1,4,1,2,2,3,2,3,3,3
300,1,41,4,2,1,1,2,0,1,2,2,3,2,2,4,5,2,2,1,2,3
301,1,69,1,2,1,2,1,1,0,0,0,3,5,1,3,2,1,5,5,5,2
302,1,37,4,1,1,4,1,1,1,1,1,1,2,8,2,2,3,3,1,2,3
303,1,36,2,2,1,4,1,1,1,1,1,2,2,2,1,1,1,3,5,1,2
304,1,39,3,2,1,1,8,1,1,8,3,3,4,2,3,3,3,2,3,3,3
305,1,52,3,1,1,3,2,0,1,1,1,2,2,2,4,3,3,2,3,3,3
306,1,44,2,1,1,1,1,1,1,1,1,1,4,3,4,3,4,3,3,3,4
307,5,21,1,1,1,1,1,1,0,0,0,1,1,8,4,3,5,5,5,2,5
308,1,42,1,2,1,1,1,0,1,1,1,2,4,2,3,2,3,3,2,3,2
309,1,35,4,2,1,2,1,1,0,0,0,1,1,2,4,3,2,1,1,2,1
310,1,26,1,1,1,1,1,1,2,2,2,1,3,4,3,2,4,3,2,3,3
311,1,48,1,2,1,1,1,1,1,8,3,2,4,2,2,1,2,1,2,2,2
312,2,68,1,2,1,1,1,1,0,0,0,1,3,1,2,2,3,1,2,8,3
313,1,26,1,1,1,2,1,0,1,1,3,3,4,4,3,1,3,2,4,3,2
315,3,36,1,1,1,4,1,1,0,0,0,4,2,2,2,2,2,2,3,2,2
316,3,55,1,2,1,4,1,2,1,1,5,1,1,4,1,1,2,4,5,5,3
317,1,41,1,1,1,1,1,1,1,2,2,2,5,3,4,3,2,4,3,5,2
318,3,43,1,1,1,2,1,0,1,1,1,1,3,4,3,3,2,2,3,3,3
319,2,66,1,2,1,1,1,2,1,2,3,1,2,1,2,2,2,2,2,2,2
321,1,29,3,2,1,2,1,1,0,0,0,3,3,3,8,4,4,2,2,2,2
322,3,41,3,2,1,2,2,1,0,0,0,1,3,2,8,3,2,2,3,2,2
323,5,19,0,2,1,2,2,1,0,0,0,2,3,2,3,3,2,2,1,3,3
324,1,47,4,1,1,2,1,0,1,2,1,3,3,3,3,3,3,1,3,3,3
325,3,49,1,1,1,1,8,0,1,1,2,1,4,3,2,2,2,3,3,3,2
326,1,58,1,1,1,1,1,0,1,1,1,4,4,2,3,2,3,2,3,2,3
327,5,19,1,2,1,1,1,0,1,1,2,4,4,4,4,5,4,3,4,3,4
328,1,35,1,1,1,4,1,1,0,0,0,4,4,4,3,1,4,3,4,3,4
329,1,30,1,2,1,1,8,1,0,0,0,5,5,8,2,1,5,5,5,5,5
